Supplementary Table 3: Total identified proteins and their respective NASF before filtration steps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main.Acessions,Sample.1,Sample.2,Sample.3,Sample.4,Sample.5,Sample.6,Sample.7,Sample.8,Sample.9,Sample.10,Sample.11,Sample.12,Sample.13,Sample.14,Sample.15,Sample.16,Sample.17,Sample.18,Sample.19,Sample.20,Sample.21,Control.1,Control.2,Control.3,Control.4,Control.5,Control.6,Control.7,Control.8,Control.9
Groups,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Control ,Control ,Control ,Control ,Control ,Control ,Control ,Control ,Control 
A0A087X2E9,NA,NA,NA,0.03164557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0A0MR02,NA,NA,NA,0.006224066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0A0MR27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001386963,NA,0.004854369,NA
A0A0A0MRA3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0A0MRD0,NA,0.001618123,NA,0,0.001618123,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.001618123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0A0MRD9,0.048404666,0.086144672,0.123374457,0.10659662,0.032608128,0.115651525,0.073210828,0.068292407,0.112295342,0.081022499,0.072313009,0.08518669,0.112603224,0.119832671,0.109441753,0.104398822,0.061193284,0.095673838,0.112850441,0.101838815,0.092123726,0.059397501,0.087652132,0.021482723,0.055619364,0.077815781,0.04023094,0.077082269,0.077327299,0.086116782
A0A0A0MRN7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004524887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0A0MRQ5,NA,0.010309278,NA,0.012886598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010309278,0.015463918,0.017182131,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0A0MS07,0.023344413,0.028124382,0.023371142,0.026300594,0.018738923,0.021383632,0.017388186,0.02494615,0.021369415,0.029211542,0.024583624,0.035681052,0.016457701,0.019035627,0.016162253,0.028894029,0.024276716,0.022033859,0.04068216,0.013454718,0.016372282,0.01374179,0.011485165,0.019227727,0.02163736,0.021647945,0.015629278,0.010581078,0.013493538,0.018120541
A0A0A0MS08,0.003496503,0.026151275,0.005256965,0.002622378,0.012237762,0.007167832,0.00774446,0.011631944,0.012412587,0.011381069,0.005125217,0.020886005,0.02006327,0.008001614,0.010116735,0.004365026,0.011790987,0.006487209,0.013111888,0.002331002,0.006467649,0.022168145,0.017305611,0.007918748,0.02203619,0.020920316,0.016715384,0.013913115,0.01285457,0.017613718
A0A0A0MS09,NA,0.003154574,NA,NA,NA,NA,NA,NA,NA,0.018401682,NA,NA,0.005783386,NA,NA,0.003154574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0A0MS14,NA,NA,NA,NA,NA,NA,NA,0.008547009,NA,0.008547009,NA,0.008547009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0A0MS51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005516432,NA,NA,NA,0.002640845,NA,NA,NA,0.003521127,NA,NA,0.002332746,NA,NA,NA,0.005741393,NA,NA,0.001369327,NA
